experiment,epoch,train_loss,val_loss,val_acc,test_acc,duration_sec
lenet_leakyrelu_maxpool,15,-1.0,-1.0,0.991333,0.9908,0.0
lenet_relu_avgpool,1,0.313199,0.10619,0.965167,-1.0,2.3
lenet_relu_avgpool,2,0.088853,0.069946,0.977333,-1.0,2.36
lenet_relu_avgpool,3,0.062721,0.056494,0.980167,-1.0,2.31
lenet_relu_avgpool,4,0.049451,0.052371,0.984,-1.0,2.31
lenet_relu_avgpool,5,0.041322,0.044154,0.9865,-1.0,2.29
lenet_relu_avgpool,6,0.032572,0.056269,0.982,-1.0,2.33
lenet_relu_avgpool,7,0.027992,0.049248,0.984833,-1.0,2.34
lenet_relu_avgpool,8,0.025069,0.050631,0.984333,-1.0,2.32
lenet_relu_avgpool,9,0.020139,0.04744,0.986667,-1.0,2.3
lenet_relu_avgpool,10,0.018976,0.049979,0.9875,-1.0,2.35
lenet_relu_avgpool,11,0.01595,0.043938,0.987667,-1.0,2.25
lenet_relu_avgpool,12,0.015327,0.041867,0.988833,-1.0,2.3
lenet_relu_avgpool,13,0.013719,0.048616,0.988333,-1.0,2.36
lenet_relu_avgpool,14,0.011368,0.041705,0.989167,-1.0,2.33
lenet_relu_avgpool,15,0.012038,0.049437,0.987667,-1.0,2.27
lenet_relu_avgpool,15,-1.0,-1.0,0.989167,0.988,0.0
lenet_sigmoid_avgpool,1,1.007996,0.333843,0.901833,-1.0,2.28
lenet_sigmoid_avgpool,2,0.232791,0.188566,0.942167,-1.0,2.32
lenet_sigmoid_avgpool,3,0.150493,0.133905,0.957667,-1.0,2.27
lenet_sigmoid_avgpool,4,0.112179,0.103266,0.9685,-1.0,2.27
lenet_sigmoid_avgpool,5,0.089129,0.088056,0.972,-1.0,2.32
lenet_sigmoid_avgpool,6,0.075162,0.081808,0.974667,-1.0,2.28
lenet_sigmoid_avgpool,7,0.062601,0.072158,0.978167,-1.0,2.35
lenet_sigmoid_avgpool,8,0.055487,0.069279,0.980167,-1.0,2.35
lenet_sigmoid_avgpool,9,0.049483,0.057102,0.9825,-1.0,2.28
lenet_sigmoid_avgpool,10,0.044227,0.059949,0.9835,-1.0,2.34
lenet_sigmoid_avgpool,11,0.040633,0.051486,0.9845,-1.0,2.29
lenet_sigmoid_avgpool,12,0.037627,0.048048,0.985333,-1.0,2.31
